ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_21361410-S	7.06e-10	9.57e-11	6.668.416	1.391.449	0.3529716	HBP1	HMG-box transcription factor 1
GI_31543288-S	7.06e-10	9.58e-11	6.668.206	1.391.325	0.5303368	NICN1	nicolin 1
GI_38505166-S	7.11e-10	9.66e-11	6.666.937	1.390.577	0.4475827	RARG	retinoic acid receptor gamma
GI_33589826-S	7.11e-10	9.68e-11	6.666.645	1.390.405	0.593346	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit
GI_24475987-S	7.13e-10	9.71e-11	6.666.092	1.390.079	0.3412447	ZNF581	zinc finger protein 581
GI_24307994-S	7.24e-10	9.87e-11	666.342	1.388.504	0.3845329	RAD54L2	RAD54-like 2 (S. cerevisiae)
GI_16945968-S	7.33e-10	9.99e-11	-6.661.389	1.387.308	-0.521893	LRRC3B	leucine rich repeat containing 3B
GI_33469925-A	7.47e-10	1.02e-10	6.658.137	1.385.392	0.5186327	MCM8	minichromosome maintenance 8 homologous recombination repair factor
GI_40806192-S	7.64e-10	1.04e-10	6.654.173	1.383.058	0.3492989	TMEM189	transmembrane protein 189
GI_4503174-S	7.64e-10	1.04e-10	665.409	138.301	0.7094414	CXCR4	C-X-C motif chemokine receptor 4
GI_20070295-S	7.67e-10	1.05e-10	665.334	1.382.569	0.4257912	RNPEPL1	arginyl aminopeptidase like 1
GI_19923880-S	7.76e-10	1.06e-10	-6.651.175	1.381.295	-0.415176	GNPDA2	glucosamine-6-phosphate deaminase 2
GI_39812393-S	7.77e-10	1.06e-10	-6.650.879	138.112	-0.3209143	REPS1	RALBP1 associated Eps domain containing 1
GI_19923257-S	7.79e-10	1.07e-10	6.650.245	1.380.747	0.3036124	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
GI_4826933-S	7.85e-10	1.08e-10	664.886	1.379.932	0.2853965	PPP4R1	protein phosphatase 4 regulatory subunit 1
GI_22027539-S	7.88e-10	1.08e-10	-6.648.137	1.379.507	-0.2570284	PDCD6	programmed cell death 6
GI_14141169-S	7.89e-10	1.09e-10	6.647.653	1.379.222	0.3568265	MTA2	metastasis associated 1 family member 2
GI_45505136-S	7.94e-10	1.09e-10	6.646.505	1.378.547	0.4936204	PODN	podocan
GI_37595566-S	7.96e-10	1.10e-10	664.608	1.378.297	0.3228343	PCGF2	polycomb group ring finger 2
GI_29135342-S	8.07e-10	1.11e-10	-6.643.619	1.376.851	-0.2679502	HINT1	histidine triad nucleotide binding protein 1
GI_34222207-S	8.09e-10	1.12e-10	-6.642.935	1.376.449	-0.4088085	FBXL16	F-box and leucine rich repeat protein 16
GI_14150034-S	8.12e-10	1.12e-10	6.642.295	1.376.072	0.3603598	PSD2	pleckstrin and Sec7 domain containing 2
GI_38570150-I	8.24e-10	1.14e-10	-6.639.794	1.374.603	-0.4858919	TAF9	TATA-box binding protein associated factor 9
GI_41281953-S	8.62e-10	1.19e-10	-6.632.036	1.370.046	-0.2302815	GNPDA1	glucosamine-6-phosphate deaminase 1
GI_7662163-S	8.66e-10	1.20e-10	-6.631.211	1.369.562	-0.4104634	KIAA0513	KIAA0513
GI_16418033-S	8.72e-10	1.21e-10	-6.629.977	1.368.838	-0.2926281	N4BP2L1	NEDD4 binding protein 2 like 1
GI_13514830-S	8.82e-10	1.22e-10	-6.627.861	1.367.596	-0.3079739	DDX10	DEAD-box helicase 10
GI_7662237-S	8.84e-10	1.23e-10	6.627.462	1.367.362	0.2764699	ACIN1	apoptotic chromatin condensation inducer 1
GI_32455253-A	8.90e-10	1.24e-10	6.626.099	1.366.562	0.3875324		
GI_21361560-S	8.90e-10	1.24e-10	6.625.921	1.366.458	0.2612208	ZNF35	zinc finger protein 35
GI_38488719-S	8.92e-10	1.24e-10	6.625.417	1.366.162	0.4093823	DGCR8	DGCR8 microprocessor complex subunit
GI_22538496-S	8.95e-10	1.25e-10	6.624.775	1.365.785	0.5464875	DNAJC30	DnaJ heat shock protein family (Hsp40) member C30
GI_4755133-S	9.03e-10	1.26e-10	6.623.152	1.364.834	0.4482729	DOK1	docking protein 1
GI_9938031-S	9.09e-10	1.27e-10	-6.622.009	1.364.163	-0.4350311	SLC2A6	solute carrier family 2 member 6
GI_37549760-S	9.18e-10	1.28e-10	6.620.223	1.363.116	0.4013175	VANGL2	VANGL planar cell polarity protein 2
GI_21264573-S	9.22e-10	1.29e-10	-6.619.221	1.362.529	-0.9134097	TSPAN13	tetraspanin 13
GI_45505148-A	9.28e-10	1.30e-10	6.617.822	1.361.709	0.7801016	NFIC	nuclear factor I C
GI_19923589-S	9.28e-10	1.30e-10	6.617.799	1.361.696	0.6079615	TMEM267	transmembrane protein 267
GI_38261972-S	9.28e-10	1.30e-10	6.617.752	1.361.668	0.4186421	ADIPOR2	adiponectin receptor 2
GI_28626520-S	9.32e-10	1.31e-10	6.616.994	1.361.224	0.2492393	ZNFX1	zinc finger NFX1-type containing 1
GI_16950596-A	9.42e-10	1.32e-10	-6.615.083	1.360.104	-0.2837605	MRPS33	mitochondrial ribosomal protein S33
GI_37595751-A	9.42e-10	1.32e-10	6.614.766	1.359.918	0.2540416	LBR	lamin B receptor
GI_31543625-S	9.42e-10	1.32e-10	-6.614.751	135.991	-0.4889354	SLC1A1	solute carrier family 1 member 1
GI_28558992-I	9.44e-10	1.33e-10	6.614.352	1.359.676	0.4825401	IFT88	intraflagellar transport 88
GI_20336263-A	9.52e-10	1.34e-10	6.612.722	1.358.721	0.2835351		
GI_29789280-S	9.52e-10	1.34e-10	-6.612.525	1.358.605	-0.5072485	TSPYL5	TSPY like 5
GI_22325361-A	9.55e-10	1.35e-10	6.611.932	1.358.258	0.3717517	PIDD1	p53-induced death domain protein 1
GI_7019524-S	9.56e-10	1.35e-10	6.611.674	1.358.107	0.569142	SERTAD1	SERTA domain containing 1
GI_6912519-S	9.58e-10	1.35e-10	6.611.084	1.357.762	0.4861927	MUTYH	mutY DNA glycosylase
GI_11141886-S	9.64e-10	1.36e-10	6.609.975	1.357.113	0.5614907	HAPLN2	hyaluronan and proteoglycan link protein 2
GI_34915989-S	9.75e-10	1.38e-10	6.607.997	1.355.954	0.5047077	RBPMS2	RNA binding protein with multiple splicing 2
GI_4758455-S	9.76e-10	1.38e-10	6.607.705	1.355.784	0.2489058	GOSR1	golgi SNAP receptor complex member 1
GI_28866946-S	9.77e-10	1.39e-10	6.607.366	1.355.585	0.6178693	MT1F	metallothionein 1F
GI_37546739-S	9.77e-10	1.39e-10	-6.607.185	1.355.479	-0.6569353		
GI_22027639-S	9.88e-10	1.40e-10	660.521	1.354.323	0.516001	HIST2H2BE	histone cluster 2, H2be
GI_4809285-A	9.89e-10	1.41e-10	6.604.932	1.354.161	0.5667013		
GI_11036639-S	1.00e-09	1.43e-10	-6.602.596	1.352.794	-0.4114452	PPP3CB	protein phosphatase 3 catalytic subunit beta
GI_8393258-S	1.00e-09	1.43e-10	6.602.489	1.352.731	0.161228	TFIP11	tuftelin interacting protein 11
GI_8922076-S	1.01e-09	1.44e-10	660.084	1.351.767	0.6081137	ADARB2	adenosine deaminase, RNA specific B2 (inactive)
GI_10800413-S	1.02e-09	1.46e-10	-6.598.893	1.350.628	-0.4631746	SC5D	sterol-C5-desaturase
GI_21361349-S	1.03e-09	1.48e-10	6.596.859	1.349.439	0.2983782	SDCCAG3	serologically defined colon cancer antigen 3
GI_38327514-S	1.03e-09	1.48e-10	6.596.703	1.349.348	0.6994913	BCL6B	B-cell CLL/lymphoma 6B
GI_19923224-S	1.03e-09	1.48e-10	-6.596.504	1.349.231	-0.4928452	OMG	oligodendrocyte myelin glycoprotein
GI_40806202-S	1.04e-09	1.48e-10	-6.596.041	134.896	-0.2063021	NEU1	neuraminidase 1 (lysosomal sialidase)
GI_22748688-S	1.06e-09	1.52e-10	-6.592.349	1.346.803	-0.3755859		
GI_34330190-S	1.07e-09	1.53e-10	-6.590.597	134.578	-0.3684977	SLC39A3	solute carrier family 39 member 3
GI_21361610-S	1.07e-09	1.54e-10	6.589.636	1.345.218	0.3016041	PLEKHO1	pleckstrin homology domain containing O1
GI_4504012-S	1.07e-09	1.54e-10	-6.589.404	1.345.083	-0.3032404	GLDC	glycine decarboxylase
GI_4757715-S	1.07e-09	1.54e-10	-6.589.304	1.345.024	-0.2788281	SPAG7	sperm associated antigen 7
GI_34222364-S	1.10e-09	1.58e-10	-6.585.205	1.342.631	-0.2626526	ENY2	ENY2, transcription and export complex 2 subunit
GI_32967604-A	1.11e-09	1.59e-10	6.583.939	1.341.892	0.4263594	BAZ1A	bromodomain adjacent to zinc finger domain 1A
GI_4505324-S	1.12e-09	1.61e-10	6.582.297	1.340.933	0.2522326	SSNA1	SS nuclear autoantigen 1
GI_24308068-S	1.12e-09	1.62e-10	6.581.554	13.405	0.7346997	ZNF521	zinc finger protein 521
GI_13375741-S	1.12e-09	1.62e-10	-658.103	1.340.194	-0.5060208	RNASEH2B	ribonuclease H2 subunit B
GI_16596687-S	1.14e-09	1.65e-10	6.578.689	1.338.828	0.3542796	STAT3	signal transducer and activator of transcription 3
GI_7706644-S	1.14e-09	1.65e-10	-6.578.659	1.338.811	-0.261924	PPME1	protein phosphatase methylesterase 1
GI_34577109-A	1.16e-09	1.68e-10	-65.754	133.691	-0.2650287	ALDOA	aldolase, fructose-bisphosphate A
GI_19743809-S	1.16e-09	1.68e-10	6.575.112	1.336.742	0.3937864	ROM1	retinal outer segment membrane protein 1
GI_21359905-S	1.17e-09	1.69e-10	6.573.968	1.336.075	0.2331919	GLTSCR2	glioma tumor suppressor candidate region gene 2
GI_42662456-S	1.17e-09	1.70e-10	6.573.114	1.335.577	0.3567181		
GI_32483398-S	1.18e-09	1.71e-10	6.572.457	1.335.194	0.3588786	PAK2	p21 (RAC1) activated kinase 2
GI_7657692-S	1.18e-09	1.71e-10	6.572.393	1.335.157	0.394353	ZNF324	zinc finger protein 324
GI_34147422-S	1.18e-09	1.72e-10	-6.571.651	1.334.724	-0.5177008	CMSS1	cms1 ribosomal small subunit homolog (yeast)
GI_25952070-I	1.18e-09	1.72e-10	6.571.548	1.334.664	0.6878136		
GI_4505492-S	1.19e-09	1.74e-10	6.569.912	1.333.711	0.349424	OGDH	oxoglutarate dehydrogenase
GI_4508040-S	1.19e-09	1.74e-10	6.569.586	1.333.521	0.3677792	ZNF91	zinc finger protein 91
GI_13376246-S	1.21e-09	1.76e-10	6.567.604	1.332.366	0.417779	ZNF672	zinc finger protein 672
GI_23510380-A	1.27e-09	1.85e-10	6.558.918	1.327.309	0.5901501	TNPO1	transportin 1
GI_17921988-S	1.27e-09	1.86e-10	-6.558.555	1.327.097	-0.3758244	TUBA4A	tubulin alpha 4a
GI_37552572-S	1.28e-09	1.87e-10	6.557.368	1.326.407	0.5455436	ZNF492	zinc finger protein 492
GI_13376321-S	1.30e-09	1.91e-10	6.554.207	1.324.568	0.4749555		
GI_5922002-A	1.30e-09	1.91e-10	6.554.184	1.324.554	0.4583951	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
GI_38327035-S	1.33e-09	1.94e-10	-6.551.115	132.277	-0.2087292	HAGH	hydroxyacylglutathione hydrolase
GI_4504036-S	1.34e-09	1.96e-10	6.549.624	1.321.903	0.387134	GNA11	G protein subunit alpha 11
GI_31881797-S	1.34e-09	1.96e-10	6.549.283	1.321.705	0.4174388	MKLN1	muskelin 1
GI_42661257-S	1.34e-09	1.97e-10	6.548.933	1.321.501	0.715463	SLFN5	schlafen family member 5
GI_33457333-S	1.34e-09	1.97e-10	6.548.405	1.321.194	0.468955	TRIM47	tripartite motif containing 47
GI_24308232-S	1.35e-09	1.99e-10	-6.547.005	1.320.381	-0.5879528	SYT13	synaptotagmin 13
GI_28372530-S	1.35e-09	1.99e-10	6.546.679	1.320.191	0.674896	PPP4R2	protein phosphatase 4 regulatory subunit 2
GI_41282247-S	1.36e-09	2.00e-10	6.546.346	1.319.998	0.2316396	ZBED1	zinc finger BED-type containing 1
GI_31377702-S	1.41e-09	2.07e-10	-6.540.196	1.316.425	-0.2216746	TTC13	tetratricopeptide repeat domain 13
GI_16262451-S	1.42e-09	2.09e-10	6.538.612	1.315.506	0.6141174	CGN	cingulin
GI_8922201-I	1.43e-09	2.11e-10	6.537.654	131.495	0.4386417		
GI_41872576-S	1.44e-09	2.13e-10	-6.535.796	1.313.871	-0.4063729	RFTN1	raftlin, lipid raft linker 1
GI_18079320-S	1.44e-09	2.13e-10	-6.535.758	1.313.849	-0.4812155	VSTM2L	V-set and transmembrane domain containing 2 like
GI_7661565-S	1.44e-09	2.13e-10	6.535.518	131.371	0.7824103	INTS7	integrator complex subunit 7
GI_21071024-S	1.45e-09	2.15e-10	6.533.967	131.281	0.4750361	HIST1H4C	histone cluster 1, H4c
GI_13430859-S	1.47e-09	2.18e-10	6.531.973	1.311.653	0.6659133	HIPK2	homeodomain interacting protein kinase 2
GI_13376659-S	1.47e-09	2.18e-10	6.531.651	1.311.466	0.3820292		
GI_13236596-S	1.48e-09	2.20e-10	6.530.633	1.310.876	0.502271	DCAF10	DDB1 and CUL4 associated factor 10
GI_39812491-I	1.48e-09	2.21e-10	6.529.793	1.310.389	0.1910775	NELFCD	negative elongation factor complex member C/D
GI_14042952-S	1.48e-09	2.21e-10	6.529.714	1.310.343	0.9842815		
GI_31657108-S	1.51e-09	2.24e-10	6.527.225	13.089	0.3131164	ZNF282	zinc finger protein 282
GI_33946312-I	1.51e-09	2.25e-10	6.526.803	1.308.655	0.5715742	NIN	ninein
GI_9966856-S	1.53e-09	2.28e-10	6.523.968	1.307.012	0.2783563	REXO4	REX4 homolog, 3'-5' exonuclease
GI_21071035-I	1.54e-09	2.30e-10	6.523.069	1.306.491	0.4716671		
GI_42794272-S	1.57e-09	2.35e-10	6.519.476	1.304.409	0.5126067	FBXL22	F-box and leucine rich repeat protein 22
GI_37540000-S	1.57e-09	2.35e-10	-6.519.463	1.304.402	-0.5355858	NOXA1	NADPH oxidase activator 1
GI_22749246-S	1.59e-09	2.37e-10	6.517.723	1.303.394	0.4754619	CNST	consortin, connexin sorting protein
GI_31542788-S	1.59e-09	2.37e-10	-651.763	130.334	-0.60079	EPHX4	epoxide hydrolase 4
GI_38261968-S	1.60e-09	2.40e-10	6.516.052	1.302.427	0.4411111	ATG12	autophagy related 12
GI_15718766-A	1.61e-09	2.41e-10	-6.515.006	1.301.821	-0.516797	KCNK4	potassium two pore domain channel subfamily K member 4
GI_18375672-S	1.61e-09	2.41e-10	6.515.001	1.301.818	0.3454604	UPF1	UPF1, RNA helicase and ATPase
GI_24475846-S	1.63e-09	2.45e-10	6.512.317	1.300.265	0.3363447	IVNS1ABP	influenza virus NS1A binding protein
GI_42741656-A	1.63e-09	2.46e-10	6.511.802	1.299.966	0.3366364	TIAF1	TGFB1-induced anti-apoptotic factor 1
GI_14110401-A	1.64e-09	2.46e-10	6.511.438	1.299.756	0.204074	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
GI_22907036-S	1.64e-09	2.46e-10	6.511.279	1.299.664	0.4315444	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
GI_14149723-S	1.65e-09	2.49e-10	-6.509.396	1.298.574	-0.3175856	MESP1	mesoderm posterior bHLH transcription factor 1
GI_33359693-A	1.66e-09	2.51e-10	-6.508.483	1.298.046	-0.3110971	UBE2E3	ubiquitin conjugating enzyme E2 E3
GI_19923769-S	1.68e-09	2.53e-10	6.507.019	12.972	0.5234718	HLX	H2.0 like homeobox
GI_33356165-S	1.69e-09	2.55e-10	-6.505.604	1.296.382	-0.1890043	R3HDM2	R3H domain containing 2
GI_38202218-S	1.69e-09	2.56e-10	6.505.049	129.606	0.3034677	CHD9	chromodomain helicase DNA binding protein 9
GI_32130539-S	1.69e-09	2.56e-10	-6.504.911	1.295.981	-0.311606	CDK14	cyclin dependent kinase 14
GI_7661621-S	1.70e-09	2.58e-10	-650.386	1.295.373	-0.4116029	ANAPC15	anaphase promoting complex subunit 15
GI_31543637-S	1.70e-09	2.58e-10	6.503.553	1.295.196	0.4757878	SLC38A2	solute carrier family 38 member 2
GI_7662045-S	1.72e-09	2.60e-10	65.021	1.294.356	0.3915244	KMT2B	lysine methyltransferase 2B
GI_27370564-S	1.72e-09	2.60e-10	-6.502.002	1.294.299	-0.2958915	AQP11	aquaporin 11
GI_9506674-S	1.72e-09	2.61e-10	6.501.633	1.294.086	0.2747149	GFOD1	glucose-fructose oxidoreductase domain containing 1
GI_21389622-S	1.72e-09	2.62e-10	650.132	1.293.905	0.4169898	PROM2	prominin 2
GI_17978492-S	1.72e-09	2.62e-10	6.501.262	1.293.871	0.3658353	CDK2AP1	cyclin dependent kinase 2 associated protein 1
GI_4885170-S	1.72e-09	2.62e-10	-6.500.734	1.293.566	-0.4387869	MAMLD1	mastermind like domain containing 1
GI_7657055-S	1.73e-09	2.63e-10	-6.500.213	1.293.265	-0.4536011	EHD3	EH domain containing 3
GI_29789001-S	1.73e-09	2.64e-10	6.499.684	1.292.959	0.5318571	MECOM	MDS1 and EVI1 complex locus
GI_40805839-A	1.75e-09	2.67e-10	6.497.847	1.291.898	0.2918399	PRCP	prolylcarboxypeptidase
GI_34147350-S	1.75e-09	2.68e-10	-6.497.368	1.291.621	-0.5208573	RASL11B	RAS like family 11 member B
GI_27262629-A	1.76e-09	2.69e-10	6.496.592	1.291.173	0.3557675	NASP	nuclear autoantigenic sperm protein
GI_33598945-A	1.76e-09	2.70e-10	6.496.088	1.290.882	0.3858241	PLCG1	phospholipase C gamma 1
GI_42662435-S	1.78e-09	2.72e-10	6.494.866	1.290.176	0.3530204		
GI_33519472-S	1.79e-09	2.75e-10	-6.493.031	1.289.117	-0.3395991	NDFIP1	Nedd4 family interacting protein 1
GI_5174508-S	1.85e-09	2.84e-10	6.487.314	1.285.818	0.3111001	SMAD1	SMAD family member 1
GI_34335244-A	1.88e-09	2.88e-10	-6.485.181	1.284.587	-0.5768467	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
GI_21389616-S	1.88e-09	2.88e-10	648.491	1.284.431	0.4305003	AIFM3	apoptosis inducing factor, mitochondria associated 3
GI_37550045-S	1.89e-09	2.91e-10	6.483.368	1.283.541	0.7486827	ZNF620	zinc finger protein 620
GI_31343502-S	1.90e-09	2.92e-10	-6.483.111	1.283.393	-0.6908401	MAP7D2	MAP7 domain containing 2
GI_15529981-S	1.90e-09	2.92e-10	-6.483.033	1.283.348	-0.2646608	IMP4	IMP4 homolog, U3 small nucleolar ribonucleoprotein
GI_8051613-S	1.92e-09	2.95e-10	6.480.984	1.282.167	0.4148852	LDLR	low density lipoprotein receptor
GI_27436919-I	1.92e-09	2.96e-10	6.480.607	1.281.949	0.3976739	SPAG9	sperm associated antigen 9
GI_18550284-S	1.92e-09	2.96e-10	-6.480.348	12.818	-0.6115877	CCDC85A	coiled-coil domain containing 85A
GI_27501463-S	1.92e-09	2.97e-10	6.480.098	1.281.656	0.703921	BRSK2	BR serine/threonine kinase 2
GI_21361192-S	1.94e-09	2.99e-10	6.478.729	1.280.867	0.4916564	CD44	CD44 molecule (Indian blood group)
GI_18860909-A	1.94e-09	3.00e-10	6.478.011	1.280.453	0.3049613		
GI_7705579-A	1.96e-09	3.03e-10	-6.476.775	1.279.741	-0.1881351	LCMT1	leucine carboxyl methyltransferase 1
GI_37543880-S	1.96e-09	3.04e-10	-6.476.244	1.279.435	-0.7584793	RIMBP2	RIMS binding protein 2
GI_20270310-S	2.03e-09	3.15e-10	-6.469.931	1.275.799	-0.5279002	SLC25A46	solute carrier family 25 member 46
GI_25453475-S	2.04e-09	3.16e-10	6.469.705	1.275.669	0.2954432	EEF1G	eukaryotic translation elongation factor 1 gamma
GI_16933538-A	2.05e-09	3.18e-10	-6.468.292	1.274.856	-0.3836377		
GI_4506400-S	2.05e-09	3.19e-10	6.468.006	1.274.691	0.3340144	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
GI_25188178-S	2.05e-09	3.19e-10	-6.467.967	1.274.668	-0.2372888	VDAC3	voltage dependent anion channel 3
GI_14149806-S	2.05e-09	3.19e-10	6.467.903	1.274.632	0.3717061	NSRP1	nuclear speckle splicing regulatory protein 1
GI_27436956-S	2.09e-09	3.25e-10	-6.464.981	127.295	-0.3299156	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
GI_20127485-S	2.09e-09	3.26e-10	6.464.175	1.272.486	0.5130286	PLIN3	perilipin 3
GI_16604251-S	2.10e-09	3.27e-10	6.463.696	1.272.211	0.5225764	ZNF300	zinc finger protein 300
GI_37540251-S	2.11e-09	3.29e-10	646.274	1.271.661	0.2467136	ERMP1	endoplasmic reticulum metallopeptidase 1
GI_14589955-S	2.16e-09	3.37e-10	-6.458.581	1.269.269	-0.3986598	POLR2K	RNA polymerase II subunit K
GI_5032234-S	2.16e-09	3.38e-10	-6.458.371	1.269.149	-0.4837885	RCAN2	regulator of calcineurin 2
GI_21359859-S	2.21e-09	3.45e-10	6.454.681	1.267.028	0.3551046	PTMA	prothymosin, alpha
GI_34452698-S	2.21e-09	3.45e-10	-6.454.636	1.267.002	-0.3084902	ACTR3	ARP3 actin related protein 3 homolog
GI_4826849-S	2.21e-09	3.46e-10	-6.454.423	1.266.879	-0.3198253	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7
GI_16418350-S	2.21e-09	3.47e-10	6.453.893	1.266.575	0.3626816	CCDC97	coiled-coil domain containing 97
GI_38194228-S	2.21e-09	3.47e-10	64.537	1.266.464	0.4483033	KLHL17	kelch like family member 17
GI_21536446-S	2.21e-09	3.47e-10	-6.453.535	1.266.369	-0.3141977	PAK6	p21 (RAC1) activated kinase 6
GI_18860905-S	2.24e-09	3.51e-10	-6.451.744	126.534	-0.2968355	PTPRN	protein tyrosine phosphatase, receptor type N
GI_31657100-A	2.24e-09	3.53e-10	6.451.013	126.492	0.4139994	DCAF11	DDB1 and CUL4 associated factor 11
GI_4505958-S	2.25e-09	3.53e-10	6.450.625	1.264.698	0.5175468	POU2F2	POU class 2 homeobox 2
GI_42734437-S	2.26e-09	3.56e-10	-6.449.431	1.264.012	-0.4557208	FAM49B	family with sequence similarity 49 member B
GI_41144256-S	2.27e-09	3.58e-10	6.448.585	1.263.526	0.3147557		
GI_32307179-S	2.32e-09	3.66e-10	-6.444.715	1.261.305	-0.2019041	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2
GI_20070207-S	2.42e-09	3.82e-10	-6.437.587	1.257.215	-0.2745934	RHEB	Ras homolog enriched in brain
GI_34485712-S	2.42e-09	3.82e-10	-6.437.468	1.257.147	-0.186787	RAB11A	RAB11A, member RAS oncogene family
GI_5031706-S	2.42e-09	3.83e-10	643.706	1.256.913	0.6789223	LRRC32	leucine rich repeat containing 32
GI_9506654-S	2.42e-09	3.83e-10	6.436.899	1.256.821	0.3960554		
GI_21614508-I	2.43e-09	3.84e-10	-6.436.569	1.256.631	-0.5913858	DIAPH2	diaphanous related formin 2
GI_5901993-S	2.43e-09	3.85e-10	6.436.075	1.256.348	0.291064	KPTN	kaptin, actin binding protein
GI_7019552-S	2.44e-09	3.87e-10	6.435.356	1.255.936	0.3113192	TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)
GI_19913344-S	2.45e-09	3.89e-10	-6.434.437	125.541	-0.3879501	SLBP	stem-loop binding protein
GI_13787194-S	2.46e-09	3.90e-10	6.434.149	1.255.244	0.7200531	ALPP	alkaline phosphatase, placental
GI_31341765-S	2.49e-09	3.95e-10	6.431.821	125.391	0.4462402		
GI_14719429-S	2.50e-09	3.97e-10	-6.430.912	1.253.389	-0.2669006	PNMA1	paraneoplastic Ma antigen 1
GI_31543395-S	2.51e-09	3.99e-10	-6.430.287	1.253.031	-0.3892584	PGAM1	phosphoglycerate mutase 1
GI_13775603-S	2.52e-09	4.01e-10	-6.429.264	1.252.445	-0.3359964	SIRT3	sirtuin 3
GI_20336240-S	2.55e-09	4.06e-10	-6.427.301	1.251.321	-0.4398372	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor
GI_24431963-S	2.61e-09	4.16e-10	6.423.021	124.887	0.4096607	HBS1L	HBS1 like translational GTPase
GI_31543155-S	2.66e-09	4.24e-10	-6.419.813	1.247.034	-0.4742847	PNMA6A	paraneoplastic Ma antigen family member 6A
GI_20986528-I	2.66e-09	4.24e-10	-6.419.699	1.246.969	-0.3169328	MAPK1	mitogen-activated protein kinase 1
GI_24308268-S	2.66e-09	4.24e-10	6.419.697	1.246.968	0.4523478	INIP	INTS3 and NABP interacting protein
GI_14790114-A	2.67e-09	4.26e-10	6.418.977	1.246.556	0.2792703	CASP3	caspase 3
GI_14589898-S	2.68e-09	4.28e-10	-6.418.213	1.246.119	-0.4891389	MAP2K1	mitogen-activated protein kinase kinase 1
GI_4759067-S	2.71e-09	4.34e-10	-6.415.848	1.244.766	-0.2677413	SCO1	SCO1 cytochrome c oxidase assembly protein
GI_14043031-A	2.72e-09	4.36e-10	6.415.114	1.244.347	0.3698441		
GI_19923465-S	2.72e-09	4.37e-10	6.414.894	1.244.221	0.2844824	SRRM2	serine/arginine repetitive matrix 2
GI_20149567-S	2.72e-09	4.37e-10	-6.414.737	1.244.131	-0.1914193	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1
GI_33620741-S	2.72e-09	4.38e-10	6.414.524	1.244.009	0.3974973	FZR1	fizzy/cell division cycle 20 related 1
GI_9055269-S	2.74e-09	4.40e-10	-6.413.496	1.243.421	-0.3658426	LRP1B	LDL receptor related protein 1B
GI_10864030-S	2.80e-09	4.50e-10	6.409.862	1.241.344	0.4702454	OVOL2	ovo like zinc finger 2
GI_9845495-S	2.80e-09	4.50e-10	6.409.777	1.241.296	0.4663225	LAMB2	laminin subunit beta 2
GI_14670391-A	2.81e-09	4.52e-10	6.408.932	1.240.813	0.2999963	BAZ1B	bromodomain adjacent to zinc finger domain 1B
GI_38176157-S	2.85e-09	4.59e-10	6.406.487	1.239.416	0.2159998		
GI_22748992-S	2.85e-09	4.59e-10	6.406.404	1.239.368	0.4163715	ZNF417	zinc finger protein 417
GI_8922600-S	2.91e-09	4.70e-10	-6.402.261	1.237.003	-0.3120683	ARL8B	ADP ribosylation factor like GTPase 8B
GI_5453558-S	2.95e-09	4.76e-10	-6.400.273	1.235.867	-0.3475941	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D
GI_34147662-S	2.97e-09	4.80e-10	6.398.855	1.235.058	0.4313042	AGFG2	ArfGAP with FG repeats 2
GI_7019550-S	2.97e-09	4.80e-10	6.398.814	1.235.035	0.2264956	UBIAD1	UbiA prenyltransferase domain containing 1
GI_22027540-S	2.99e-09	4.85e-10	6.397.096	1.234.054	0.4146755	PDCD7	programmed cell death 7
GI_31543177-S	2.99e-09	4.85e-10	6.396.997	1.233.998	0.3307521	PRR14	proline rich 14
GI_24586672-A	3.00e-09	4.86e-10	6.396.644	1.233.797	0.4172894		
GI_10800414-S	3.00e-09	4.87e-10	-6.396.331	1.233.618	-0.5018525	NDN	necdin, MAGE family member
GI_25777697-A	3.01e-09	4.89e-10	6.395.732	1.233.276	0.2178555	TRIM39	tripartite motif containing 39
GI_27886649-I	3.10e-09	5.04e-10	639.069	1.230.401	0.4879979	KCNH6	potassium voltage-gated channel subfamily H member 6
GI_42658538-S	3.11e-09	5.05e-10	6.390.166	1.230.102	0.4404168	ANKIB1	ankyrin repeat and IBR domain containing 1
GI_22547196-S	3.12e-09	5.08e-10	6.389.322	1.229.621	0.749399	ZIC2	Zic family member 2
GI_34147493-S	3.13e-09	5.09e-10	638.871	1.229.272	0.3332411	MAT2A	methionine adenosyltransferase 2A
